DealID;Company;Sector;Headquarters;DealDate;DealType;TargetCompany;StakePercent;DealValueUSD_M;RevenueMultiple;EBITDAMultiple;FundingSource;PostDealROIC_3Y_pct;MarketReaction_1D_pct;MarketReaction_30D_pct;RiskScore;Recommendation;ProductScore;PriceStrategy;PlaceCoverage;PromotionIntensity;DealSummary
79d561070db24277aa228ef34f1bf041;Guerrero Inc;Energy;China;18/11/2013;Investment;Jackson Inc;24;39008.73;2.27;20.21;Equity;1.24;-3.95;-10.19;1;Hold;9;Skimming;Global;Medium;On 2013-11-18, Guerrero Inc (Energy) announced a investment of 24% stake in Jackson Inc for $39008.73M, implying 2.27x revenue and 20.21x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 1.24%. Analyst verdict: Hold.
c355629bac894de2a513fe468d6eb9f3;Rush, Rodriguez and Rogers;Healthcare;Japan;29/4/2011;Merger;Blake-Grant;96;22321.07;8.77;22.9;Mixed;37.82;11.08;-5.95;10;Hold;7;Discount;Regional;High;On 2011-04-29, Rush, Rodriguez and Rogers (Healthcare) announced a merger of 96% stake in Blake-Grant for $22321.07M, implying 8.77x revenue and 22.9x EBITDA multiples. Funding was Mixed. Post‐deal 3‑year ROIC is projected at 37.82%. Analyst verdict: Hold.
3a8b54603f5d408ca45390e5482edc77;Davis, Gonzalez and Schmidt;Healthcare;Singapore;17/12/2022;Investment;Adams Group;80;31753.5;10.12;21.33;Debt;32.74;-9.84;-13.78;6;Hold;6;Competitive;Local;Low;On 2022-12-17, Davis, Gonzalez and Schmidt (Healthcare) announced a investment of 80% stake in Adams Group for $31753.50M, implying 10.12x revenue and 21.33x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at 32.74%. Analyst verdict: Hold.
b37b007c11af42a3b9ea9d2404c135f2;Myers Ltd;Telecommunications;Canada;15/2/2016;Investment;Waters-Watson;9;15587.52;0.59;11.52;Mixed;-6.6;8.58;20.31;3;Sell;8;Competitive;Local;Medium;On 2016-02-15, Myers Ltd (Telecommunications) announced a investment of 9% stake in Waters-Watson for $15587.52M, implying 0.59x revenue and 11.52x EBITDA multiples. Funding was Mixed. Post‐deal 3‑year ROIC is projected at -6.6%. Analyst verdict: Sell.
a4bd59c6b10941099e9af8e335e45a96;Carter, Ferguson and Spencer;Technology;India;9/5/2019;Merger;White Inc;35;2800.6;13.97;22.79;Equity;11.6;-2.98;9.08;1;Buy;9;Skimming;Regional;High;On 2019-05-09, Carter, Ferguson and Spencer (Technology) announced a merger of 35% stake in White Inc for $2800.60M, implying 13.97x revenue and 22.79x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 11.6%. Analyst verdict: Buy.
5db68c64c08948cc8fbb2cc666aa7c1f;Conner-Acosta;Healthcare;Germany;25/11/2023;Acquisition;Waller-Archer;45;704.3;3.19;12.15;Debt;30.96;10.03;2.17;4;Buy;10;Skimming;Global;High;On 2023-11-25, Conner-Acosta (Healthcare) announced a acquisition of 45% stake in Waller-Archer for $704.30M, implying 3.19x revenue and 12.15x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at 30.96%. Analyst verdict: Buy.
299cc84f5681451ebe61f18ea198e29a;Compton, Reid and Mcmillan;Consumer Discretionary;Canada;22/3/2016;Divestiture;Gonzales-Conner;89;35735.38;10.88;5.96;Equity;2.7;12.89;-23.44;10;Hold;2;Premium;Regional;Medium;On 2016-03-22, Compton, Reid and Mcmillan (Consumer Discretionary) announced a divestiture of 89% stake in Gonzales-Conner for $35735.38M, implying 10.88x revenue and 5.96x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 2.7%. Analyst verdict: Hold.
0486e4c75049445c838874e8be345cf7;Mcguire Group;Healthcare;Brazil;31/7/2019;Merger;Bailey-Delgado;70;16024.99;8.26;17.6;Equity;-10.36;-7.75;3.63;8;Sell;2;Discount;Global;Medium;On 2019-07-31, Mcguire Group (Healthcare) announced a merger of 70% stake in Bailey-Delgado for $16024.99M, implying 8.26x revenue and 17.6x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at -10.36%. Analyst verdict: Sell.
4b6c6b636dec4f7f8980d1333bb9cf6f;Becker-Williams;Energy;China;4/3/2016;Joint Venture;Lewis LLC;81;46904.27;0.81;17.87;Mixed;-15.99;-3.62;-6.01;1;Sell;8;Competitive;Regional;Low;On 2016-03-04, Becker-Williams (Energy) announced a joint venture of 81% stake in Lewis LLC for $46904.27M, implying 0.81x revenue and 17.87x EBITDA multiples. Funding was Mixed. Post‐deal 3‑year ROIC is projected at -15.99%. Analyst verdict: Sell.
e7beb26ce06141e4a2dd42794a2fe47a;Scott and Sons;Real Estate;China;5/12/2021;Merger;Huang-Garcia;98;1691.22;4.72;13.1;Mixed;18.63;3.54;-7.13;8;Hold;8;Competitive;Regional;High;On 2021-12-05, Scott and Sons (Real Estate) announced a merger of 98% stake in Huang-Garcia for $1691.22M, implying 4.72x revenue and 13.1x EBITDA multiples. Funding was Mixed. Post‐deal 3‑year ROIC is projected at 18.63%. Analyst verdict: Hold.
9038ba02ad8f4f91a5081be3def9a76e;Clark PLC;Consumer Discretionary;France;3/4/2023;Investment;Cook, Maldonado and Bartlett;65;15011.21;13.34;12.35;Equity;7.66;9.31;22.45;7;Hold;9;Premium;Global;Medium;On 2023-04-03, Clark PLC (Consumer Discretionary) announced a investment of 65% stake in Cook, Maldonado and Bartlett for $15011.21M, implying 13.34x revenue and 12.35x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 7.66%. Analyst verdict: Hold.
c9ac8758316b451d8c35f345b1691256;Harrison-Arnold;Industrials;France;25/10/2015;Merger;Wagner, Fry and Flores;84;31352.89;7.24;11.76;Debt;22.13;9.75;-9.49;1;Buy;4;Skimming;Regional;Low;On 2015-10-25, Harrison-Arnold (Industrials) announced a merger of 84% stake in Wagner, Fry and Flores for $31352.89M, implying 7.24x revenue and 11.76x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at 22.13%. Analyst verdict: Buy.
1bdebdef177a4b2aaa0a79710252190f;Stephens, Phillips and Wong;Industrials;India;20/5/2014;Investment;James-Chang;18;44729.9;13.1;9.63;Equity;36.31;-1.65;5.1;6;Hold;5;Competitive;Regional;High;On 2014-05-20, Stephens, Phillips and Wong (Industrials) announced a investment of 18% stake in James-Chang for $44729.90M, implying 13.1x revenue and 9.63x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 36.31%. Analyst verdict: Hold.
467afd1362ee485994100c289aa5bae6;Hernandez, Meyer and Jimenez;Consumer Discretionary;Germany;1/12/2012;Divestiture;Rojas and Sons;8;18936.36;12.89;11.88;Equity;10.75;9.61;7.23;4;Buy;3;Competitive;Regional;Low;On 2012-12-01, Hernandez, Meyer and Jimenez (Consumer Discretionary) announced a divestiture of 8% stake in Rojas and Sons for $18936.36M, implying 12.89x revenue and 11.88x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 10.75%. Analyst verdict: Buy.
1ac11db2fd824aea9a08fcaf43bf2c3d;Baker-Campbell;Consumer Staples;Japan;16/9/2014;Merger;Mccoy Ltd;85;42434.33;2.36;14.78;Debt;21.44;-1.19;13.68;9;Hold;9;Discount;Local;High;On 2014-09-16, Baker-Campbell (Consumer Staples) announced a merger of 85% stake in Mccoy Ltd for $42434.33M, implying 2.36x revenue and 14.78x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at 21.44%. Analyst verdict: Hold.
ce1400738c924913babcc0102bc2a34d;HCA Healthcare;Healthcare;USA;16/3/2011;Investment;Bank of New York Mellon;48;33041.53;11.57;14.34;Equity;-10.29;3.63;-20.46;2;Sell;8;Skimming;Regional;High;On 2011-03-16, HCA Healthcare announced a investment of 48% stake in Bank of New York Mellon worth $33041.53 M. Multiples: 11.57× revenue, 14.34× EBITDA. Funding: Equity. 3‑yr ROIC projection: -10.29 %. Verdict: Sell.
ad077a469d124717b11dcc541117471e;Honeywell;Industrials;USA;15/6/2013;Merger;Mondelez International;18;2159.04;13.54;23.92;Mixed;34.1;-6.61;12.46;3;Buy;10;Premium;Global;High;On 2013-06-15, Honeywell announced a merger of 18% stake in Mondelez International worth $2159.04 M. Multiples: 13.54× revenue, 23.92× EBITDA. Funding: Mixed. 3‑yr ROIC projection: 34.1 %. Verdict: Buy.
5dd025f78a9540c097855589f097e9be;Valero Energy;Energy;USA;21/9/2019;Divestiture;Starbucks;58;2316.84;5.14;6.43;Debt;28.13;4.91;3.09;8;Hold;3;Skimming;Local;Low;On 2019-09-21, Valero Energy announced a divestiture of 58% stake in Starbucks worth $2316.84 M. Multiples: 5.14× revenue, 6.43× EBITDA. Funding: Debt. 3‑yr ROIC projection: 28.13 %. Verdict: Hold.
14d2c8ec8d0d4a6a9c4d4c527f1d8a6e;UnitedHealth Group;Healthcare;USA;9/8/2018;Joint Venture;Energy Transfer;18;18413.79;10.69;5.8;Equity;18.47;12.88;-3.69;1;Buy;2;Premium;Regional;High;On 2018-08-09, UnitedHealth Group announced a joint venture of 18% stake in Energy Transfer worth $18413.79 M. Multiples: 10.69× revenue, 5.8× EBITDA. Funding: Equity. 3‑yr ROIC projection: 18.47 %. Verdict: Buy.
b2cef7ae77944edb9fcab83a0d76c6ed;Occidental Petroleum;Energy;USA;18/5/2012;Joint Venture;Best Buy;74;26701.99;1.83;8.58;Mixed;11.11;-4.82;27.08;6;Hold;2;Skimming;Global;Medium;On 2012-05-18, Occidental Petroleum announced a joint venture of 74% stake in Best Buy worth $26701.99 M. Multiples: 1.83× revenue, 8.58× EBITDA. Funding: Mixed. 3‑yr ROIC projection: 11.11 %. Verdict: Hold.
36241a1950504064a8554ed09f1573d9;Amazon;Consumer Discretionary;USA;16/8/2016;Divestiture;McKesson;88;30403.93;6.22;5.66;Equity;14.05;-3.8;28.24;1;Buy;2;Skimming;Regional;Low;On 2016-08-16, Amazon announced a divestiture of 88% stake in McKesson worth $30403.93 M. Multiples: 6.22× revenue, 5.66× EBITDA. Funding: Equity. 3‑yr ROIC projection: 14.05 %. Verdict: Buy.
80ca68e56239467ba541c91f7ec46053;Target;Consumer Discretionary;USA;30/5/2021;Merger;American Electric Power;23;36437.23;1.13;5.66;Equity;22.49;-0.2;-18.95;10;Hold;5;Skimming;Global;Medium;On 2021-05-30, Target announced a merger of 23% stake in American Electric Power worth $36437.23 M. Multiples: 1.13× revenue, 5.66× EBITDA. Funding: Equity. 3‑yr ROIC projection: 22.49 %. Verdict: Hold.
bff078aec284418090774a96251483c4;Mastercard;Financials;USA;30/4/2012;Joint Venture;Alphabet;60;12177.48;0.51;20.12;Equity;14.23;-4.45;12.19;3;Buy;7;Competitive;Regional;Medium;On 2012-04-30, Mastercard announced a joint venture of 60% stake in Alphabet worth $12177.48 M. Multiples: 0.51× revenue, 20.12× EBITDA. Funding: Equity. 3‑yr ROIC projection: 14.23 %. Verdict: Buy.
bfa24513663747148d42dd90e19b26ab;FedEx;Industrials;USA;5/7/2012;Merger;Amazon;51;42702.83;8.26;3.23;Debt;23.95;11.48;23.53;10;Hold;6;Competitive;Global;Medium;On 2012-07-05, FedEx announced a merger of 51% stake in Amazon worth $42702.83 M. Multiples: 8.26× revenue, 3.23× EBITDA. Funding: Debt. 3‑yr ROIC projection: 23.95 %. Verdict: Hold.
b09d94a4b4854d2fa9efe00d3a56a8ed;Target;Consumer Discretionary;USA;30/7/2020;Acquisition;AT&T;89;1210.35;6.51;13.02;Equity;-6.1;0.21;-12.02;8;Sell;8;Discount;Local;High;On 2020-07-30, Target announced a acquisition of 89% stake in AT&T worth $1210.35 M. Multiples: 6.51× revenue, 13.02× EBITDA. Funding: Equity. 3‑yr ROIC projection: -6.1 %. Verdict: Sell.
b215183b63654b58aa68c48b56f3ced5;Valero Energy;Energy;USA;5/4/2022;Joint Venture;Mondelez International;58;14048.37;14.59;17.31;Mixed;-10.16;10.44;19.32;6;Sell;1;Discount;Global;Low;On 2022-04-05, Valero Energy announced a joint venture of 58% stake in Mondelez International worth $14048.37 M. Multiples: 14.59× revenue, 17.31× EBITDA. Funding: Mixed. 3‑yr ROIC projection: -10.16 %. Verdict: Sell.
64e30e0c2dec4088abf1ac7f9c2d5c4b;Elevance Health;Healthcare;USA;19/8/2023;Investment;Verizon Communications;25;34880.5;0.75;7.94;Debt;-8.05;10.67;-6.64;2;Sell;4;Premium;Local;Low;On 2023-08-19, Elevance Health announced a investment of 25% stake in Verizon Communications worth $34880.50 M. Multiples: 0.75× revenue, 7.94× EBITDA. Funding: Debt. 3‑yr ROIC projection: -8.05 %. Verdict: Sell.
b3b2471afe934c728f4a75fa5156b0df;Altria Group;Consumer Staples;USA;25/3/2017;Divestiture;Progressive;74;35057.58;6.04;15.7;Equity;29.93;1.31;-16.08;7;Hold;8;Premium;Global;Low;On 2017-03-25, Altria Group announced a divestiture of 74% stake in Progressive worth $35057.58 M. Multiples: 6.04× revenue, 15.7× EBITDA. Funding: Equity. 3‑yr ROIC projection: 29.93 %. Verdict: Hold.
f36382752535472680ebf68af56ec526;American Airlines Group;Industrials;USA;20/4/2020;Joint Venture;Walmart;10;22801.58;2.47;2.2;Equity;7.55;12.33;24.66;3;Hold;1;Skimming;Regional;High;On 2020-04-20, American Airlines Group announced a joint venture of 10% stake in Walmart worth $22801.58 M. Multiples: 2.47× revenue, 2.2× EBITDA. Funding: Equity. 3‑yr ROIC projection: 7.55 %. Verdict: Hold.
4feacad8d7064dacba15c25977c09b44;Mondelez International;Consumer Staples;USA;21/7/2010;Merger;American Express;52;18238.89;5.54;9.25;Equity;-2.52;-9.87;22.42;4;Hold;8;Discount;Global;Low;On 2010-07-21, Mondelez International announced a merger of 52% stake in American Express worth $18238.89 M. Multiples: 5.54× revenue, 9.25× EBITDA. Funding: Equity. 3‑yr ROIC projection: -2.52 %. Verdict: Hold.
29b970687166467aa62398e6194ee463;ExxonMobil;Energy;USA;4/5/2022;Investment;Marathon Petroleum;94;26275.02;4.72;13.28;Debt;1.87;1.27;13.23;9;Hold;4;Discount;Global;High;On 2022-05-04, ExxonMobil announced a investment of 94% stake in Marathon Petroleum worth $26275.02 M. Multiples: 4.72× revenue, 13.28× EBITDA. Funding: Debt. 3‑yr ROIC projection: 1.87 %. Verdict: Hold.
86858c1236fb4b238fdaba2c7be8aebd;Chevron;Energy;USA;7/3/2020;Joint Venture;State Street;78;4601.77;6.59;11.12;Mixed;-6.98;8.72;15.97;4;Sell;6;Competitive;Local;Medium;On 2020-03-07, Chevron announced a joint venture of 78% stake in State Street worth $4601.77 M. Multiples: 6.59× revenue, 11.12× EBITDA. Funding: Mixed. 3‑yr ROIC projection: -6.98 %. Verdict: Sell.
ce0ce6aaf1bd4023a65ee180da0f3f53;EOG Resources;Energy;USA;10/7/2020;Acquisition;US Bancorp;17;11795.33;8.6;3.72;Debt;27.84;12.03;-10.45;2;Buy;2;Premium;Regional;High;On 2020-07-10, EOG Resources announced a acquisition of 17% stake in US Bancorp worth $11795.33 M. Multiples: 8.6× revenue, 3.72× EBITDA. Funding: Debt. 3‑yr ROIC projection: 27.84 %. Verdict: Buy.
7a8e4b1ab4034521822a741073030224;Lumen Technologies;Telecommunications;USA;2/6/2015;Joint Venture;Lockheed Martin;88;35992.42;1.72;22.09;Equity;9.29;-7.84;-20.95;2;Hold;1;Discount;Regional;Low;On 2015-06-02, Lumen Technologies announced a joint venture of 88% stake in Lockheed Martin worth $35992.42 M. Multiples: 1.72× revenue, 22.09× EBITDA. Funding: Equity. 3‑yr ROIC projection: 9.29 %. Verdict: Hold.
2fbb3a0a3053411dbd8b80b1d6846841;Disney;Communication Services;USA;9/8/2017;Merger;Intel;6;16156.07;8.56;15.97;Debt;35.51;4.88;-6.84;8;Hold;5;Skimming;Global;Low;On 2017-08-09, Disney announced a merger of 6% stake in Intel worth $16156.07 M. Multiples: 8.56× revenue, 15.97× EBITDA. Funding: Debt. 3‑yr ROIC projection: 35.51 %. Verdict: Hold.
03c9852ea63548bfa4540860226ff742;Home Depot;Consumer Discretionary;USA;4/3/2011;Acquisition;Comcast;13;40937.82;5.28;14.49;Mixed;-4.24;-3.81;-5.83;4;Hold;7;Premium;Local;Low;On 2011-03-04, Home Depot announced a acquisition of 13% stake in Comcast worth $40937.82 M. Multiples: 5.28× revenue, 14.49× EBITDA. Funding: Mixed. 3‑yr ROIC projection: -4.24 %. Verdict: Hold.
70d332c010464ac599a45ab826c49351;Wells Fargo;Financials;USA;14/11/2018;Divestiture;Merck;87;32796.02;14.31;6.02;Equity;5.66;-4.7;-3.39;3;Hold;3;Premium;Local;Medium;On 2018-11-14, Wells Fargo announced a divestiture of 87% stake in Merck worth $32796.02 M. Multiples: 14.31× revenue, 6.02× EBITDA. Funding: Equity. 3‑yr ROIC projection: 5.66 %. Verdict: Hold.
7e888b2e25f74cb09c6a598699e05a97;US Bancorp;Financials;USA;21/12/2021;Joint Venture;Bank of New York Mellon;75;25851.55;8.75;4.87;Equity;2.61;-2.97;11.74;7;Hold;6;Skimming;Regional;High;On 2021-12-21, US Bancorp announced a joint venture of 75% stake in Bank of New York Mellon worth $25851.55 M. Multiples: 8.75× revenue, 4.87× EBITDA. Funding: Equity. 3‑yr ROIC projection: 2.61 %. Verdict: Hold.
ffca17351afc4c40992eb004607441ba;Berkshire Hathaway;Financials;USA;28/5/2014;Acquisition;Verizon Communications;13;47497.64;7.52;7.09;Mixed;24.8;-8.55;-6.62;6;Hold;2;Discount;Regional;Low;On 2014-05-28, Berkshire Hathaway announced a acquisition of 13% stake in Verizon Communications worth $47497.64 M. Multiples: 7.52× revenue, 7.09× EBITDA. Funding: Mixed. 3‑yr ROIC projection: 24.8 %. Verdict: Hold.
0048470c82894ede994b35e82c01db72;Energy Transfer;Energy;USA;16/2/2013;Acquisition;Yum! Brands;17;26579.48;0.96;11.75;Equity;18.77;-9.14;-15.41;2;Buy;8;Premium;Regional;Medium;On 2013-02-16, Energy Transfer announced a acquisition of 17% stake in Yum! Brands worth $26579.48 M. Multiples: 0.96× revenue, 11.75× EBITDA. Funding: Equity. 3‑yr ROIC projection: 18.77 %. Verdict: Buy.
